ER5001,ER5002,ER5006,ER5013,ER5031,ER5032,ER6814,ER6993,ER72001,ER72002,ER72017,ER72024,ER72030,ER72031,ER76897,ER77448
,,,,,,,,1,6438,29,1,5,0,1,45000
,,,,,,,,1,7341,26,2,5,0,1,36200
6,1623,57,1,1,370000,1,195507,,,,,,,,
6,3728,57,1,1,75000,1,20001,,,,,,,,
6,110,32,4,5,0,1,4664,,,,,,,,
6,1139,69,1,1,110000,1,124884,,,,,,,,
6,1138,42,4,1,110000,1,50752,,,,,,,,
6,2667,39,4,1,45000,1,28000,,,,,,,,
6,1140,36,1,1,200000,1,42001,,,,,,,,
,,,,,,,,1,7278,32,1,1,400000,1,148000
6,744,47,4,5,0,1,136005,,,,,,,,
6,1141,43,1,1,66000,9,9201,,,,,,,,
,,,,,,,,1,8476,39,1,1,270000,1,110296
,,,,,,,,1,9137,40,1,5,0,1,125800
,,,,,,,,1,7117,44,1,1,700000,1,430000
6,247,66,1,1,90000,1,32281,1,7892,90,3,1,150000,1,29000
,,,,,,,,1,5977,64,4,1,42000,1,32656
6,1728,37,4,5,0,1,27096,,,,,,,,
6,1730,31,2,8,0,1,17372,1,4868,55,2,1,90000,1,53184
,,,,,,,,1,7739,39,2,5,0,1,32000
,,,,,,,,1,7409,31,2,5,0,1,60014
6,1731,43,1,1,50000,1,52184,1,5699,67,1,1,100000,1,95238
6,251,46,4,1,36000,1,22582,,,,,,,,
6,253,38,1,1,47000,1,23245,,,,,,,,
,,,,,,,,1,7607,42,1,1,130000,1,75144
,,,,,,,,1,5310,61,1,1,35000,1,108000
,,,,,,,,1,9431,38,2,5,0,1,55500
6,5874,56,1,1,85000,1,73801,,,,,,,,
6,2923,31,1,1,48000,1,62311,,,,,,,,
,,,,,,,,1,1336,23,2,1,120000,1,50000
6,2924,56,1,1,250000,1,256009,,,,,,,,
,,,,,,,,1,866,55,4,1,350000,1,80801
6,5439,36,1,1,160000,1,79252,1,335,60,1,1,250000,1,164000
6,404,55,1,1,75000,1,156605,,,,,,,,
6,405,35,1,1,65000,1,47719,,,,,,,,
6,745,30,4,1,36000,1,26250,,,,,,,,
6,1142,66,1,1,280000,1,64201,,,,,,,,
,,,,,,,,1,2331,35,1,1,235000,1,140529
6,746,37,1,1,225000,1,71332,1,1595,62,1,1,500000,1,189050
6,1143,30,1,1,90000,1,117240,,,,,,,,
,,,,,,,,1,1555,43,1,1,300000,1,121002
6,1144,47,2,1,60000,1,27434,1,52,71,2,1,70000,1,27400
6,1765,19,1,5,0,1,22498,1,8486,43,1,5,0,1,55226
,,,,,,,,1,8413,26,2,5,0,1,50400
6,299,48,1,5,0,1,28049,1,4544,72,1,1,40000,1,34956
6,747,48,1,1,30000,1,30967,1,647,73,1,1,50000,1,40254
,,,,,,,,1,1202,44,1,1,275000,1,150800
6,6283,48,4,1,28000,2,33000,1,3518,72,4,1,125000,2,31704
6,748,52,4,1,45000,2,22052,1,3463,77,4,1,35000,2,18000
,,,,,,,,1,3862,39,5,8,0,2,0
6,722,36,1,5,0,2,19439,1,6369,60,4,5,0,2,53000
6,3442,20,2,5,0,2,3420,1,6420,44,5,5,0,2,29000
,,,,,,,,1,5185,42,4,5,0,2,56000
,,,,,,,,1,6749,27,2,5,0,2,6250
,,,,,,,,1,4739,25,2,5,0,2,38000
,,,,,,,,1,4639,23,2,5,0,2,19200
,,,,,,,,1,8672,45,2,1,50000,2,62000
,,,,,,,,1,6744,40,5,5,0,9,30400
,,,,,,,,1,6536,39,1,5,0,2,35000
,,,,,,,,1,6153,36,4,5,0,2,47256
,,,,,,,,1,8287,41,5,5,0,2,48200
6,2061,67,3,1,47000,2,32272,1,4860,91,3,1,9999998,2,71228
,,,,,,,,1,8990,29,4,5,0,1,50000
,,,,,,,,1,4788,27,2,5,0,2,49456
,,,,,,,,1,8625,70,1,5,0,2,132000
6,3908,25,4,5,0,2,15982,,,,,,,,
6,10158,49,1,1,58000,2,58593,,,,,,,,
,,,,,,,,1,8403,54,4,1,185000,2,203918
,,,,,,,,1,9462,21,2,5,0,1,27692
6,1940,52,1,1,75000,1,34862,1,965,76,1,1,135000,1,70923
,,,,,,,,1,1210,41,2,1,170000,1,137020
,,,,,,,,1,874,46,1,5,0,1,99045
6,749,37,1,1,9999998,1,50000,1,6532,62,1,1,250000,1,61880
6,1145,47,1,1,150000,1,87561,1,7946,72,1,1,300000,1,90620
,,,,,,,,1,9354,21,2,5,0,1,36000
,,,,,,,,1,9075,43,1,1,360000,1,224040
6,2391,49,4,1,50000,1,36301,,,,,,,,
6,1981,27,1,5,0,1,32498,1,1832,51,1,1,350000,1,97600
6,623,45,1,1,120000,1,146354,,,,,,,,
6,624,33,1,5,0,1,40310,1,1393,58,4,1,100000,1,105227
,,,,,,,,1,2506,41,1,1,150000,1,178200
6,3838,55,1,1,55000,1,29119,1,1009,79,1,1,60000,1,44056
,,,,,,,,1,1020,40,1,1,250000,1,76830
6,726,65,1,1,154000,1,103637,,,,,,,,
6,2045,41,2,8,0,1,15460,,,,,,,,
6,2042,40,1,1,195000,1,341963,1,6205,64,1,1,275000,1,179100
6,2403,37,1,1,64000,1,64137,1,6796,61,1,1,150000,1,149595
,,,,,,,,1,8064,31,2,5,0,1,23000
,,,,,,,,1,6999,26,2,5,0,1,36900
6,728,35,1,1,140000,1,136505,1,6362,60,1,1,729000,1,445718
,,,,,,,,1,9153,25,1,1,240000,1,110006
,,,,,,,,1,5346,38,1,5,0,1,17224
6,3453,53,1,5,0,1,14982,,,,,,,,
6,3452,29,1,5,0,1,51499,,,,,,,,
6,3909,28,1,5,0,1,90101,,,,,,,,
,,,,,,,,1,9275,51,5,1,390000,1,183000
,,,,,,,,1,4568,46,1,1,170000,1,195000
,,,,,,,,1,9566,46,1,5,0,1,17178
6,4527,81,1,1,85000,1,30442,,,,,,,,
6,750,54,4,1,9999999,1,7800,,,,,,,,
,,,,,,,,1,2872,31,2,5,0,1,18000
6,751,75,3,1,38000,1,11424,,,,,,,,
6,1146,34,3,5,0,1,18487,1,2827,58,3,1,70000,1,63400
6,1664,76,3,1,80000,1,15306,,,,,,,,
6,1671,22,2,5,0,1,16399,,,,,,,,
,,,,,,,,1,6786,43,4,1,180000,1,50800
6,3283,46,1,1,165000,1,75201,,,,,,,,
6,4462,42,1,1,150000,1,58701,1,7202,66,1,1,280000,1,102412
,,,,,,,,1,9363,47,1,1,375000,1,111300
,,,,,,,,1,5896,45,1,1,210000,1,166100
6,3454,61,1,1,125000,1,32601,1,2959,85,1,1,199000,1,52280
6,3215,34,4,1,87000,1,50572,,,,,,,,
6,3214,33,1,1,105000,1,72101,1,3257,58,1,1,160000,1,245020
6,3213,32,2,1,85000,1,18701,,,,,,,,
6,3910,29,4,1,115000,1,64402,,,,,,,,
,,,,,,,,1,3422,29,2,5,0,1,47050
6,2025,45,4,8,0,1,6000,,,,,,,,
6,689,41,4,5,0,1,5304,,,,,,,,
6,2023,36,0,5,0,1,13164,,,,,,,,
6,5326,37,1,5,0,1,69000,,,,,,,,
6,2026,40,5,5,0,1,17938,,,,,,,,
,,,,,,,,1,5960,48,2,5,0,1,660
,,,,,,,,1,5483,21,2,5,0,1,5000
6,2909,25,1,5,0,1,17499,,,,,,,,
6,694,28,1,1,30000,1,30000,,,,,,,,
,,,,,,,,1,8531,39,1,8,0,1,25168
,,,,,,,,1,8488,34,1,5,0,1,76300
,,,,,,,,1,4755,56,2,8,0,2,38830
6,50,64,1,1,60000,1,13602,,,,,,,,
6,57,25,2,5,0,1,2000,1,2869,50,2,5,0,1,27400
6,2822,57,1,1,38000,2,50701,1,5353,81,1,1,80000,2,80942
6,8275,37,1,1,40000,2,46000,,,,,,,,
6,1745,34,4,8,0,2,37794,1,5084,58,5,5,0,2,19850
,,,,,,,,1,7998,40,5,5,0,2,42000
,,,,,,,,1,8961,30,1,5,0,2,58408
6,2925,61,4,1,90000,2,34487,1,1094,85,4,1,200000,2,6987
6,4232,37,2,5,0,1,21200,,,,,,,,
6,2926,59,1,1,110000,1,70852,,,,,,,,
6,2927,26,2,5,0,1,9600,,,,,,,,
6,3216,23,4,5,0,1,600,1,4391,47,4,1,16000,1,12216
,,,,,,,,1,3877,27,1,1,95000,1,20004
,,,,,,,,1,3927,25,2,5,0,3,44632
,,,,,,,,1,3984,82,3,1,209000,3,58180
6,8178,28,2,5,0,1,57727,1,1007,52,1,1,450000,1,309350
6,2632,98,3,5,0,1,10301,,,,,,,,
6,1678,59,1,1,90000,1,66362,,,,,,,,
,,,,,,,,1,2198,30,2,5,0,1,48050
,,,,,,,,1,2551,27,2,5,0,1,20000
6,4971,33,1,8,0,1,63501,1,1562,57,1,1,300001,1,53812
6,1147,89,3,5,0,1,65326,,,,,,,,
6,9849,67,1,1,235000,1,71926,,,,,,,,
6,2634,74,3,1,400000,1,23757,,,,,,,,
6,540,42,1,1,800000,1,650025,1,6897,67,1,1,1800000,1,280000
,,,,,,,,1,6428,62,2,5,0,1,13300
,,,,,,,,1,6178,72,3,1,1100000,1,64700
,,,,,,,,1,6472,45,1,5,0,1,296600
,,,,,,,,1,7546,31,2,5,0,1,122000
,,,,,,,,1,8027,24,2,5,0,1,167930
6,544,47,1,1,550000,1,176641,,,,,,,,
6,538,37,1,1,250000,1,67847,,,,,,,,
,,,,,,,,1,7549,39,1,1,1000000,1,214828
,,,,,,,,1,7357,42,1,1,1350000,1,439000
,,,,,,,,1,9604,36,1,5,0,1,2125100
,,,,,,,,1,4944,40,1,5,0,1,1275000
6,10408,55,3,5,0,2,17000,,,,,,,,
6,4614,52,1,1,150000,1,81043,1,2923,75,1,1,250000,1,72000
6,3911,26,1,1,150000,1,86102,1,2964,50,1,1,300000,1,121016
,,,,,,,,1,3417,46,1,1,475000,1,124126
6,695,61,1,1,150000,1,73402,,,,,,,,
